VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5249, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
5250, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5251, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5252, 1239,  0.07296,  0.00643,  0.53426,  0.42432,  0.89453,  0.1416,  0.00, -0.88672,  0.44214, -0.13513,  1.00, -0.97119,  0.59717
5253, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
5254, 1239,  0.07296,  0.00643,  0.53426,  0.42432,  0.89453,  0.1416,  0.00, -0.88672,  0.44214, -0.13513,  1.00, -0.97119,  0.59717
5255, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5256, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
5257, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5258, 1239,  0.07296,  0.00643,  0.53426,  0.42432,  0.89453,  0.1416,  0.00, -0.88672,  0.44214, -0.13513,  1.00, -0.97119,  0.59717
5259, 1235,  0.08641,  0.00556,  0.47091,  0.81104,  0.5791,  0.08209,  0.00, -0.57178,  0.81494, -0.09491,  1.00, -0.97852,  0.4729
5260, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5261, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
5262, 1239,  0.07296,  0.00643,  0.53426,  0.42432,  0.89453,  0.1416,  0.00, -0.88672,  0.44214, -0.13513,  1.00, -0.97119,  0.59717
5263, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
5264, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5265, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5266, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
5267, 1239,  0.07296,  0.00643,  0.53426,  0.42432,  0.89453,  0.1416,  0.00, -0.88672,  0.44214, -0.13513,  1.00, -0.97119,  0.59717
5268, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5269, 1235,  0.08641,  0.00556,  0.47091,  0.81104,  0.5791,  0.08209,  0.00, -0.57178,  0.81494, -0.09491,  1.00, -0.97852,  0.4729
5270, 1241,  0.08264,  0.00888,  0.46906,  0.42456,  0.90332,  0.0647,  0.00, -0.8916,  0.42944, -0.14258,  1.00, -0.96826,  0.47046
5271, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
5272, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5273, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5274, 1241,  0.08264,  0.00888,  0.46906,  0.42456,  0.90332,  0.0647,  0.00, -0.8916,  0.42944, -0.14258,  1.00, -0.96826,  0.47046
5275, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5276, 1240,  0.07886,  0.00819,  0.50056,  0.40356,  0.91016,  0.09106,  0.00, -0.89941,  0.41309, -0.14258,  1.00, -0.9707,  0.53125
5277, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5278, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
